1.0,[ 0.          0.          0.         -0.28401452]
2.0,[ 0.         0.         0.        -0.0912176]
3.0,[ 0.          0.          0.         -0.05130141]
4.0,[ 0.          0.          0.         -0.07495301]
5.0,[ 0.          0.          0.         -0.23684458]
6.0,[ 0.          0.          0.         -0.31776374]
7.0,[ 0.          0.          0.         -0.15530476]
8.0,[ 0.          0.          0.         -0.07917782]
9.0,[ 0.         0.         0.        -0.1261815]
10.0,[ 0.          0.          0.         -0.02787037]
11.0,[ 0.          0.          0.         -0.18493593]
12.0,[ 0.         0.         0.        -0.0569224]
13.0,[ 0.          0.          0.         -0.05186392]
14.0,[ 0.          0.          0.         -0.12364426]
15.0,[ 0.          0.          0.         -0.03369627]
16.0,[ 0.          0.          0.         -0.07672213]
17.0,[ 0.          0.          0.         -0.17973702]
18.0,[ 1.  1.  1. -1.]
19.0,[ 0.          0.          0.         -0.20352578]
20.0,[ 0.          0.          0.         -0.08879887]
21.0,[ 0.          0.          0.         -0.07332405]
22.0,[ 0.          0.          0.         -0.17295556]
23.0,[ 0.          0.          0.         -0.05954953]
24.0,[0. 0. 0. 0.]
25.0,[ 0.          0.          0.         -0.03009106]
26.0,[ 0.          0.          0.         -0.05605923]
27.0,[ 0.          0.          0.         -0.23491205]
28.0,[ 0.          0.          0.         -0.13222172]
29.0,[ 0.          0.          0.         -0.18086225]
30.0,[ 0.          0.          0.         -0.13073281]
31.0,[ 0.          0.          0.         -0.14796032]
32.0,[ 0.          0.          0.         -0.14266316]
33.0,[ 0.          0.          0.         -0.20003934]
34.0,[ 0.          0.          0.         -0.04372117]
35.0,[ 0.          0.          0.         -0.09306692]
36.0,[ 0.          0.          0.         -0.10103204]
37.0,[ 0.         0.         0.        -0.1603724]
38.0,[ 0.          0.          0.         -0.08812274]
39.0,[ 0.          0.          0.         -0.15540946]
40.0,[ 0.          0.          0.         -0.37267214]
41.0,[ 1.  1.  1. -1.]
42.0,[ 1.          1.          1.         -1.01516592]
43.0,[ 0.          0.          0.         -0.08820202]
44.0,[ 0.          0.          0.         -0.28830844]
45.0,[ 0.          0.          0.         -0.16552066]
46.0,[ 0.          0.          0.         -0.21584459]
47.0,[ 0.          0.          0.         -0.13194704]
48.0,[ 0.          0.          0.         -0.07726231]
49.0,[ 0.          0.          0.         -0.10987983]
